kilometres_ridden,engine_problem,battery_problem,breaking_issues,service_date,bought_date
46027,0,1,1,290,04-11-2017
83277,1,1,0,138,13-03-2016
42104,0,0,0,47,05-05-2015
77769,1,1,0,12,14-08-2019
18296,1,0,1,27,01-09-2013
79946,0,0,0,20,09-10-2010
73830,0,1,0,218,20-02-2013
11983,1,1,0,108,03-02-2022
33835,0,0,1,82,01-09-2013
95677,1,0,0,205,08-10-2010
52595,0,0,1,302,03-07-2012
96610,1,1,0,34,21-12-2010
32275,0,0,1,141,04-02-2013
91416,1,0,1,102,16-08-2014
13281,1,1,0,68,12-09-2012
56064,0,0,0,321,03-07-2020
96964,1,0,0,360,22-06-2011
60664,0,0,0,44,19-08-2020
45015,0,0,1,267,14-08-2021
16651,1,1,0,19,15-02-2014
23248,0,0,0,223,04-05-2014
93418,1,0,1,114,26-01-2015
53427,1,1,1,316,25-02-2019
29199,1,0,0,124,26-06-2011
28427,1,1,0,130,03-06-2013
40775,0,1,0,132,30-06-2012
82226,1,1,1,176,21-02-2020
80806,1,0,1,209,27-07-2010
25224,0,0,0,2,20-04-2016
32343,1,0,1,122,27-08-2017
52444,0,0,0,307,29-07-2015
30033,1,1,1,124,08-09-2011
59099,1,0,1,107,05-08-2014
71484,1,1,1,308,24-06-2016
94895,0,0,0,113,09-03-2010
11936,0,0,0,142,20-06-2012
77719,0,0,0,270,08-12-2022
66796,1,0,1,98,23-08-2013
82365,0,1,1,170,20-12-2018
55174,1,0,1,91,30-11-2019
68655,0,0,0,175,25-08-2019
40956,1,0,1,30,30-08-2021
75081,1,0,0,66,20-01-2022
60913,1,0,1,3,04-04-2022
69245,1,0,0,91,21-05-2018
77509,1,1,0,312,24-07-2021
43123,1,1,0,295,14-03-2023
35766,0,0,0,18,27-09-2022
45752,0,1,0,291,03-02-2010
65097,0,0,1,21,15-05-2021
16222,1,1,1,311,30-03-2010
87137,0,1,0,249,01-04-2014
83555,0,0,0,257,10-03-2023
61844,1,0,1,4,14-04-2017
74039,1,0,1,166,26-03-2011
56520,0,0,1,21,05-10-2021
14610,1,0,1,115,13-10-2014
68616,1,1,0,149,30-03-2013
46961,0,1,1,230,05-10-2022
90996,1,0,1,201,14-12-2018
78075,0,1,1,17,18-01-2022
93590,1,0,1,281,15-05-2015
88537,1,1,0,21,10-10-2016
84540,0,1,0,12,02-08-2016
11092,0,1,1,15,09-09-2019
76187,0,1,1,90,21-02-2021
